,DEX_CONTRATO,Underlying_name,am_eu_type,Underlying Code,Tipo,Comprada,Contratos,Sentido,Strike,Px_ejecucion,Multiplicador,Divisa,Bid,Ask,Vencimiento,todays_date,Spot_Price
0,ESO2  700F1,MINI S&P 500,Europea,ES,Call,0,0,0,700,0,50,EUR,"3476,3","3462,4",2021-06-18,2021-04-16,3800
1,ESO2  700R1,MINI S&P 500,Europea,ES,Put,0,0,0,700,0,50,EUR,0,0,2021-06-18,2021-04-16,3800
2,ESO2  900R1,MINI S&P 500,Europea,ES,Put,0,0,0,900,0,50,EUR,0,0,2021-06-18,2021-04-16,3800
3,ESO2  900F1,MINI S&P 500,Europea,ES,Call,0,0,0,900,0,50,EUR,"3276,3","3262,4",2021-06-18,2021-04-16,3800
4,ESO2 1000R1,MINI S&P 500,Europea,ES,Put,0,0,0,1000,0,50,EUR,0,0,2021-06-18,2021-04-16,3800
5,ESO2 1000F1,MINI S&P 500,Europea,ES,Call,0,0,0,1000,0,50,EUR,"3176,3","3162,4",2021-06-18,2021-04-16,3800
6,ESO2 1200R1,MINI S&P 500,Europea,ES,Put,0,0,0,1200,0,50,EUR,0,0,2021-06-18,2021-04-16,3800
7,ESO2 1200F1,MINI S&P 500,Europea,ES,Call,0,0,0,1200,0,50,EUR,"2976,3","2962,4",2021-06-18,2021-04-16,3800
8,ESO2 1300F1,MINI S&P 500,Europea,ES,Call,0,0,0,1300,0,50,EUR,"2876,3","2862,4",2021-06-18,2021-04-16,3800
9,ESO2 1300R1,MINI S&P 500,Europea,ES,Put,0,0,0,1300,0,50,EUR,0,0,2021-06-18,2021-04-16,3800
10,ESO2 1400F1,MINI S&P 500,Europea,ES,Call,0,0,0,1400,0,50,EUR,"2776,3","2762,5",2021-06-18,2021-04-16,3800
11,ESO2 1400R1,MINI S&P 500,Europea,ES,Put,0,0,0,1400,0,50,EUR,"0,1","0,1",2021-06-18,2021-04-16,3800
12,ESO2 1500R1,MINI S&P 500,Europea,ES,Put,0,0,0,1500,0,50,EUR,"0,1","0,15",2021-06-18,2021-04-16,3800
13,ESO2 1500F1,MINI S&P 500,Europea,ES,Call,0,0,0,1500,0,50,EUR,"2676,4","2662,5",2021-06-18,2021-04-16,3800
14,ESO2 1600R1,MINI S&P 500,Europea,ES,Put,0,0,0,1600,0,50,EUR,"0,15","0,2",2021-06-18,2021-04-16,3800
15,ESO2 1600F1,MINI S&P 500,Europea,ES,Call,0,0,0,1600,0,50,EUR,"2576,4","2562,5",2021-06-18,2021-04-16,3800
16,ESO2 1700R1,MINI S&P 500,Europea,ES,Put,0,0,0,1700,0,50,EUR,"0,2","0,25",2021-06-18,2021-04-16,3800
17,ESO2 1700F1,MINI S&P 500,Europea,ES,Call,0,0,0,1700,0,50,EUR,"2476,5","2462,6",2021-06-18,2021-04-16,3800
18,ESO2 1800R1,MINI S&P 500,Europea,ES,Put,0,0,0,1800,0,50,EUR,"0,25","0,35",2021-06-18,2021-04-16,3800
19,ESO2 1800F1,MINI S&P 500,Europea,ES,Call,0,0,0,1800,0,50,EUR,"2376,5","2362,7",2021-06-18,2021-04-16,3800
20,ESO2 1850F1,MINI S&P 500,Europea,ES,Call,0,0,0,1850,0,50,EUR,"2326,5","2312,7",2021-06-18,2021-04-16,3800
21,ESO2 1850R1,MINI S&P 500,Europea,ES,Put,0,0,0,1850,0,50,EUR,"0,3","0,4",2021-06-18,2021-04-16,3800
22,ESO2 1900R1,MINI S&P 500,Europea,ES,Put,0,0,0,1900,0,50,EUR,"0,35","0,45",2021-06-18,2021-04-16,3800
23,ESO2 1900F1,MINI S&P 500,Europea,ES,Call,0,0,0,1900,0,50,EUR,"2276,6","2262,8",2021-06-18,2021-04-16,3800
24,ESO2 1950F1,MINI S&P 500,Europea,ES,Call,0,0,0,1950,0,50,EUR,"2226,6","2212,8",2021-06-18,2021-04-16,3800
25,ESO2 1950R1,MINI S&P 500,Europea,ES,Put,0,0,0,1950,0,50,EUR,"0,4","0,5",2021-06-18,2021-04-16,3800
26,ESO2 2000R1,MINI S&P 500,Europea,ES,Put,0,0,0,2000,0,50,EUR,"0,45","0,55",2021-06-18,2021-04-16,3800
27,ESO2 2000F1,MINI S&P 500,Europea,ES,Call,0,0,0,2000,0,50,EUR,"2176,7","2162,9",2021-06-18,2021-04-16,3800
28,ESO2 2050F1,MINI S&P 500,Europea,ES,Call,0,0,0,2050,0,50,EUR,"2126,7","2112,9",2021-06-18,2021-04-16,3800
29,ESO2 2050R1,MINI S&P 500,Europea,ES,Put,0,0,0,2050,0,50,EUR,"0,5","0,6",2021-06-18,2021-04-16,3800
30,ESO2 2100R1,MINI S&P 500,Europea,ES,Put,0,0,0,2100,0,50,EUR,"0,55","0,65",2021-06-18,2021-04-16,3800
31,ESO2 2100F1,MINI S&P 500,Europea,ES,Call,0,0,0,2100,0,50,EUR,"2076,8",2063,2021-06-18,2021-04-16,3800
32,ESO2 2150F1,MINI S&P 500,Europea,ES,Call,0,0,0,2150,0,50,EUR,"2026,8","2013,1",2021-06-18,2021-04-16,3800
33,ESO2 2150R1,MINI S&P 500,Europea,ES,Put,0,0,0,2150,0,50,EUR,"0,6","0,75",2021-06-18,2021-04-16,3800
34,ESO2 2200R1,MINI S&P 500,Europea,ES,Put,0,0,0,2200,0,50,EUR,"0,65","0,85",2021-06-18,2021-04-16,3800
35,ESO2 2200F1,MINI S&P 500,Europea,ES,Call,0,0,0,2200,0,50,EUR,"1976,9","1963,2",2021-06-18,2021-04-16,3800
36,ESO2 2250F1,MINI S&P 500,Europea,ES,Call,0,0,0,2250,0,50,EUR,1927,"1913,3",2021-06-18,2021-04-16,3800
37,ESO2 2250R1,MINI S&P 500,Europea,ES,Put,0,0,0,2250,0,50,EUR,"0,75","0,9",2021-06-18,2021-04-16,3800
38,ESO2 2300R1,MINI S&P 500,Europea,ES,Put,0,0,0,2300,0,50,EUR,"0,85","1,05",2021-06-18,2021-04-16,3800
39,ESO2 2300F1,MINI S&P 500,Europea,ES,Call,0,0,0,2300,0,50,EUR,"1877,1","1863,4",2021-06-18,2021-04-16,3800
40,ESO2 2350F1,MINI S&P 500,Europea,ES,Call,0,0,0,2350,0,50,EUR,"1827,2","1813,5",2021-06-18,2021-04-16,3800
41,ESO2 2350R1,MINI S&P 500,Europea,ES,Put,0,0,0,2350,0,50,EUR,"0,95","1,15",2021-06-18,2021-04-16,3800
42,ESO2 2400R1,MINI S&P 500,Europea,ES,Put,0,0,0,2400,0,50,EUR,"1,05","1,3",2021-06-18,2021-04-16,3800
43,ESO2 2400F1,MINI S&P 500,Europea,ES,Call,0,0,0,2400,0,50,EUR,"1777,3","1763,6",2021-06-18,2021-04-16,3800
44,ESO2 2450F1,MINI S&P 500,Europea,ES,Call,0,0,0,2450,0,50,EUR,"1727,4","1713,8",2021-06-18,2021-04-16,3800
45,ESO2 2450R1,MINI S&P 500,Europea,ES,Put,0,0,0,2450,0,50,EUR,"1,2","1,45",2021-06-18,2021-04-16,3800
46,ESO2 2500R1,MINI S&P 500,Europea,ES,Put,0,0,0,2500,0,50,EUR,"1,35","1,6",2021-06-18,2021-04-16,3800
47,ESO2 2500F1,MINI S&P 500,Europea,ES,Call,0,0,0,2500,0,50,EUR,"1677,6","1663,9",2021-06-18,2021-04-16,3800
48,ESO2 2550F1,MINI S&P 500,Europea,ES,Call,0,0,0,2550,0,50,EUR,"1627,7","1614,1",2021-06-18,2021-04-16,3800
49,ESO2 2550R1,MINI S&P 500,Europea,ES,Put,0,0,0,2550,0,50,EUR,"1,5","1,8",2021-06-18,2021-04-16,3800
50,ESO2 2600R1,MINI S&P 500,Europea,ES,Put,0,0,0,2600,0,50,EUR,"1,7",2,2021-06-18,2021-04-16,3800
51,ESO2 2600F1,MINI S&P 500,Europea,ES,Call,0,0,0,2600,0,50,EUR,"1577,9","1564,4",2021-06-18,2021-04-16,3800
52,ESO2 2650F1,MINI S&P 500,Europea,ES,Call,0,0,0,2650,0,50,EUR,"1528,1","1514,6",2021-06-18,2021-04-16,3800
53,ESO2 2650R1,MINI S&P 500,Europea,ES,Put,0,0,0,2650,0,50,EUR,"1,9","2,25",2021-06-18,2021-04-16,3800
54,ESO2 2700R1,MINI S&P 500,Europea,ES,Put,0,0,0,2700,0,50,EUR,"2,15","2,5",2021-06-18,2021-04-16,3800
55,ESO2 2700F1,MINI S&P 500,Europea,ES,Call,0,0,0,2700,0,50,EUR,"1478,4","1464,8",2021-06-18,2021-04-16,3800
56,ESO2 2750R1,MINI S&P 500,Europea,ES,Put,0,0,0,2750,0,50,EUR,"2,4","2,75",2021-06-18,2021-04-16,3800
57,ESO2 2750F1,MINI S&P 500,Europea,ES,Call,0,0,0,2750,0,50,EUR,"1428,6","1415,1",2021-06-18,2021-04-16,3800
58,ESO2 2760R1,MINI S&P 500,Europea,ES,Put,0,0,0,2760,0,50,EUR,"2,45","2,8",2021-06-18,2021-04-16,3800
59,ESO2 2760F1,MINI S&P 500,Europea,ES,Call,0,0,0,2760,0,50,EUR,"1418,7","1405,1",2021-06-18,2021-04-16,3800
60,ESO2 2770R1,MINI S&P 500,Europea,ES,Put,0,0,0,2770,0,50,EUR,"2,5","2,85",2021-06-18,2021-04-16,3800
61,ESO2 2770F1,MINI S&P 500,Europea,ES,Call,0,0,0,2770,0,50,EUR,"1408,8","1395,2",2021-06-18,2021-04-16,3800
62,ESO2 2780R1,MINI S&P 500,Europea,ES,Put,0,0,0,2780,0,50,EUR,"2,55","2,9",2021-06-18,2021-04-16,3800
63,ESO2 2780F1,MINI S&P 500,Europea,ES,Call,0,0,0,2780,0,50,EUR,"1398,8","1385,3",2021-06-18,2021-04-16,3800
64,ESO2 2790R1,MINI S&P 500,Europea,ES,Put,0,0,0,2790,0,50,EUR,"2,6","2,95",2021-06-18,2021-04-16,3800
65,ESO2 2790F1,MINI S&P 500,Europea,ES,Call,0,0,0,2790,0,50,EUR,"1388,9","1375,3",2021-06-18,2021-04-16,3800
66,ESO2 2800R1,MINI S&P 500,Europea,ES,Put,0,0,0,2800,0,50,EUR,"2,65",3,2021-06-18,2021-04-16,3800
67,ESO2 2800F1,MINI S&P 500,Europea,ES,Call,0,0,0,2800,0,50,EUR,"1378,9","1365,4",2021-06-18,2021-04-16,3800
68,ESO2 2810F1,MINI S&P 500,Europea,ES,Call,0,0,0,2810,0,50,EUR,1369,"1355,4",2021-06-18,2021-04-16,3800
69,ESO2 2810R1,MINI S&P 500,Europea,ES,Put,0,0,0,2810,0,50,EUR,"2,75","3,1",2021-06-18,2021-04-16,3800
70,ESO2 2820R1,MINI S&P 500,Europea,ES,Put,0,0,0,2820,0,50,EUR,"2,8","3,15",2021-06-18,2021-04-16,3800
71,ESO2 2820F1,MINI S&P 500,Europea,ES,Call,0,0,0,2820,0,50,EUR,1359,"1345,5",2021-06-18,2021-04-16,3800
72,ESO2 2830F1,MINI S&P 500,Europea,ES,Call,0,0,0,2830,0,50,EUR,"1349,1","1335,6",2021-06-18,2021-04-16,3800
73,ESO2 2830R1,MINI S&P 500,Europea,ES,Put,0,0,0,2830,0,50,EUR,"2,85","3,2",2021-06-18,2021-04-16,3800
74,ESO2 2840F1,MINI S&P 500,Europea,ES,Call,0,0,0,2840,0,50,EUR,"1339,2","1325,6",2021-06-18,2021-04-16,3800
75,ESO2 2840R1,MINI S&P 500,Europea,ES,Put,0,0,0,2840,0,50,EUR,"2,9","3,25",2021-06-18,2021-04-16,3800
76,ESO2 2850R1,MINI S&P 500,Europea,ES,Put,0,0,0,2850,0,50,EUR,3,"3,35",2021-06-18,2021-04-16,3800
77,ESO2 2850F1,MINI S&P 500,Europea,ES,Call,0,0,0,2850,0,50,EUR,"1329,2","1315,7",2021-06-18,2021-04-16,3800
78,ESO2 2860R1,MINI S&P 500,Europea,ES,Put,0,0,0,2860,0,50,EUR,"3,05","3,4",2021-06-18,2021-04-16,3800
79,ESO2 2860F1,MINI S&P 500,Europea,ES,Call,0,0,0,2860,0,50,EUR,"1319,3","1305,8",2021-06-18,2021-04-16,3800
80,ESO2 2870R1,MINI S&P 500,Europea,ES,Put,0,0,0,2870,0,50,EUR,"3,1","3,45",2021-06-18,2021-04-16,3800
81,ESO2 2870F1,MINI S&P 500,Europea,ES,Call,0,0,0,2870,0,50,EUR,"1309,4","1295,8",2021-06-18,2021-04-16,3800
82,ESO2 2880R1,MINI S&P 500,Europea,ES,Put,0,0,0,2880,0,50,EUR,"3,2","3,55",2021-06-18,2021-04-16,3800
83,ESO2 2880F1,MINI S&P 500,Europea,ES,Call,0,0,0,2880,0,50,EUR,"1299,4","1285,9",2021-06-18,2021-04-16,3800
84,ESO2 2890F1,MINI S&P 500,Europea,ES,Call,0,0,0,2890,0,50,EUR,"1289,5",1276,2021-06-18,2021-04-16,3800
85,ESO2 2890R1,MINI S&P 500,Europea,ES,Put,0,0,0,2890,0,50,EUR,"3,25","3,6",2021-06-18,2021-04-16,3800
86,ESO2 2900R1,MINI S&P 500,Europea,ES,Put,0,0,0,2900,0,50,EUR,"3,35","3,7",2021-06-18,2021-04-16,3800
87,ESO2 2900F1,MINI S&P 500,Europea,ES,Call,0,0,0,2900,0,50,EUR,"1279,6",1266,2021-06-18,2021-04-16,3800
88,ESO2 2910R1,MINI S&P 500,Europea,ES,Put,0,0,0,2910,0,50,EUR,"3,4","3,75",2021-06-18,2021-04-16,3800
89,ESO2 2910F1,MINI S&P 500,Europea,ES,Call,0,0,0,2910,0,50,EUR,"1269,6","1256,1",2021-06-18,2021-04-16,3800
90,ESO2 2920R1,MINI S&P 500,Europea,ES,Put,0,0,0,2920,0,50,EUR,"3,45","3,85",2021-06-18,2021-04-16,3800
91,ESO2 2920F1,MINI S&P 500,Europea,ES,Call,0,0,0,2920,0,50,EUR,"1259,7","1246,2",2021-06-18,2021-04-16,3800
92,ESO2 2930F1,MINI S&P 500,Europea,ES,Call,0,0,0,2930,0,50,EUR,"1249,8","1236,3",2021-06-18,2021-04-16,3800
93,ESO2 2930R1,MINI S&P 500,Europea,ES,Put,0,0,0,2930,0,50,EUR,"3,55","3,9",2021-06-18,2021-04-16,3800
94,ESO2 2940F1,MINI S&P 500,Europea,ES,Call,0,0,0,2940,0,50,EUR,"1239,9","1226,4",2021-06-18,2021-04-16,3800
95,ESO2 2940R1,MINI S&P 500,Europea,ES,Put,0,0,0,2940,0,50,EUR,"3,6",4,2021-06-18,2021-04-16,3800
96,ESO2 2950F1,MINI S&P 500,Europea,ES,Call,0,0,0,2950,0,50,EUR,"1229,9","1216,4",2021-06-18,2021-04-16,3800
97,ESO2 2950R1,MINI S&P 500,Europea,ES,Put,0,0,0,2950,0,50,EUR,"3,7","4,1",2021-06-18,2021-04-16,3800
98,ESO2 2960F1,MINI S&P 500,Europea,ES,Call,0,0,0,2960,0,50,EUR,1220,"1206,5",2021-06-18,2021-04-16,3800
99,ESO2 2960R1,MINI S&P 500,Europea,ES,Put,0,0,0,2960,0,50,EUR,"3,75","4,15",2021-06-18,2021-04-16,3800
100,ESO2 2970F1,MINI S&P 500,Europea,ES,Call,0,0,0,2970,0,50,EUR,"1210,1","1196,6",2021-06-18,2021-04-16,3800
101,ESO2 2970R1,MINI S&P 500,Europea,ES,Put,0,0,0,2970,0,50,EUR,"3,85","4,25",2021-06-18,2021-04-16,3800
102,ESO2 2980R1,MINI S&P 500,Europea,ES,Put,0,0,0,2980,0,50,EUR,"3,9","4,35",2021-06-18,2021-04-16,3800
103,ESO2 2980F1,MINI S&P 500,Europea,ES,Call,0,0,0,2980,0,50,EUR,"1200,2","1186,7",2021-06-18,2021-04-16,3800
104,ESO2 2990F1,MINI S&P 500,Europea,ES,Call,0,0,0,2990,0,50,EUR,"1190,3","1176,8",2021-06-18,2021-04-16,3800
105,ESO2 2990R1,MINI S&P 500,Europea,ES,Put,0,0,0,2990,0,50,EUR,4,"4,45",2021-06-18,2021-04-16,3800
106,ESO2 3000R1,MINI S&P 500,Europea,ES,Put,0,0,0,3000,0,50,EUR,"4,1","4,5",2021-06-18,2021-04-16,3800
107,ESO2 3000F1,MINI S&P 500,Europea,ES,Call,0,0,0,3000,0,50,EUR,"1180,3","1166,9",2021-06-18,2021-04-16,3800
108,ESO2 3010R1,MINI S&P 500,Europea,ES,Put,0,0,0,3010,0,50,EUR,"4,15","4,6",2021-06-18,2021-04-16,3800
109,ESO2 3010F1,MINI S&P 500,Europea,ES,Call,0,0,0,3010,0,50,EUR,"1170,4",1157,2021-06-18,2021-04-16,3800
110,ESO2 3020R1,MINI S&P 500,Europea,ES,Put,0,0,0,3020,0,50,EUR,"4,25","4,7",2021-06-18,2021-04-16,3800
111,ESO2 3020F1,MINI S&P 500,Europea,ES,Call,0,0,0,3020,0,50,EUR,"1160,5","1147,1",2021-06-18,2021-04-16,3800
112,ESO2 3030R1,MINI S&P 500,Europea,ES,Put,0,0,0,3030,0,50,EUR,"4,35","4,8",2021-06-18,2021-04-16,3800
113,ESO2 3030F1,MINI S&P 500,Europea,ES,Call,0,0,0,3030,0,50,EUR,"1150,6","1137,2",2021-06-18,2021-04-16,3800
114,ESO2 3040F1,MINI S&P 500,Europea,ES,Call,0,0,0,3040,0,50,EUR,"1140,7","1127,3",2021-06-18,2021-04-16,3800
115,ESO2 3040R1,MINI S&P 500,Europea,ES,Put,0,0,0,3040,0,50,EUR,"4,45","4,9",2021-06-18,2021-04-16,3800
116,ESO2 3050F1,MINI S&P 500,Europea,ES,Call,0,0,0,3050,0,50,EUR,"1130,8","1117,4",2021-06-18,2021-04-16,3800
117,ESO2 3050R1,MINI S&P 500,Europea,ES,Put,0,0,0,3050,0,50,EUR,"4,55",5,2021-06-18,2021-04-16,3800
118,ESO2 3060R1,MINI S&P 500,Europea,ES,Put,0,0,0,3060,0,50,EUR,"4,65","5,1",2021-06-18,2021-04-16,3800
119,ESO2 3060F1,MINI S&P 500,Europea,ES,Call,0,0,0,3060,0,50,EUR,"1120,9","1107,5",2021-06-18,2021-04-16,3800
120,ESO2 3070R1,MINI S&P 500,Europea,ES,Put,0,0,0,3070,0,50,EUR,"4,75","5,2",2021-06-18,2021-04-16,3800
121,ESO2 3070F1,MINI S&P 500,Europea,ES,Call,0,0,0,3070,0,50,EUR,1111,"1097,6",2021-06-18,2021-04-16,3800
122,ESO2 3080F1,MINI S&P 500,Europea,ES,Call,0,0,0,3080,0,50,EUR,"1101,1","1087,7",2021-06-18,2021-04-16,3800
123,ESO2 3080R1,MINI S&P 500,Europea,ES,Put,0,0,0,3080,0,50,EUR,"4,85","5,3",2021-06-18,2021-04-16,3800
124,ESO2 3090F1,MINI S&P 500,Europea,ES,Call,0,0,0,3090,0,50,EUR,"1091,2","1077,8",2021-06-18,2021-04-16,3800
125,ESO2 3090R1,MINI S&P 500,Europea,ES,Put,0,0,0,3090,0,50,EUR,"4,95","5,4",2021-06-18,2021-04-16,3800
126,ESO2 3100F1,MINI S&P 500,Europea,ES,Call,0,0,0,3100,0,50,EUR,"1081,3","1067,9",2021-06-18,2021-04-16,3800
127,ESO2 3100R1,MINI S&P 500,Europea,ES,Put,0,0,0,3100,0,50,EUR,5,"5,5",2021-06-18,2021-04-16,3800
128,ESO2 3110F1,MINI S&P 500,Europea,ES,Call,0,0,0,3110,0,50,EUR,"1071,4",1058,2021-06-18,2021-04-16,3800
129,ESO2 3110R1,MINI S&P 500,Europea,ES,Put,0,0,0,3110,0,50,EUR,"5,1","5,7",2021-06-18,2021-04-16,3800
130,ESO2 3120F1,MINI S&P 500,Europea,ES,Call,0,0,0,3120,0,50,EUR,"1061,5","1048,1",2021-06-18,2021-04-16,3800
131,ESO2 3120R1,MINI S&P 500,Europea,ES,Put,0,0,0,3120,0,50,EUR,"5,3","5,8",2021-06-18,2021-04-16,3800
132,ESO2 3130R1,MINI S&P 500,Europea,ES,Put,0,0,0,3130,0,50,EUR,"5,4","5,9",2021-06-18,2021-04-16,3800
133,ESO2 3130F1,MINI S&P 500,Europea,ES,Call,0,0,0,3130,0,50,EUR,"1051,6","1038,2",2021-06-18,2021-04-16,3800
134,ESO2 3140R1,MINI S&P 500,Europea,ES,Put,0,0,0,3140,0,50,EUR,"5,5",6,2021-06-18,2021-04-16,3800
135,ESO2 3140F1,MINI S&P 500,Europea,ES,Call,0,0,0,3140,0,50,EUR,"1041,7","1028,4",2021-06-18,2021-04-16,3800
136,ESO2 3150R1,MINI S&P 500,Europea,ES,Put,0,0,0,3150,0,50,EUR,"5,6","6,1",2021-06-18,2021-04-16,3800
137,ESO2 3150F1,MINI S&P 500,Europea,ES,Call,0,0,0,3150,0,50,EUR,"1031,9","1018,5",2021-06-18,2021-04-16,3800
138,ESO2 3160R1,MINI S&P 500,Europea,ES,Put,0,0,0,3160,0,50,EUR,"5,7","6,3",2021-06-18,2021-04-16,3800
139,ESO2 3160F1,MINI S&P 500,Europea,ES,Call,0,0,0,3160,0,50,EUR,1022,"1008,6",2021-06-18,2021-04-16,3800
140,ESO2 3170R1,MINI S&P 500,Europea,ES,Put,0,0,0,3170,0,50,EUR,"5,8","6,4",2021-06-18,2021-04-16,3800
141,ESO2 3170F1,MINI S&P 500,Europea,ES,Call,0,0,0,3170,0,50,EUR,"1012,1","998,7",2021-06-18,2021-04-16,3800
142,ESO2 3180F1,MINI S&P 500,Europea,ES,Call,0,0,0,3180,0,50,EUR,"1002,2","988,9",2021-06-18,2021-04-16,3800
143,ESO2 3180R1,MINI S&P 500,Europea,ES,Put,0,0,0,3180,0,50,EUR,6,"6,5",2021-06-18,2021-04-16,3800
144,ESO2 3190R1,MINI S&P 500,Europea,ES,Put,0,0,0,3190,0,50,EUR,"6,1","6,6",2021-06-18,2021-04-16,3800
145,ESO2 3190F1,MINI S&P 500,Europea,ES,Call,0,0,0,3190,0,50,EUR,"992,4",979,2021-06-18,2021-04-16,3800
146,ESO2 3200F1,MINI S&P 500,Europea,ES,Call,0,0,0,3200,0,50,EUR,"982,5","969,1",2021-06-18,2021-04-16,3800
147,ESO2 3200R1,MINI S&P 500,Europea,ES,Put,0,0,0,3200,0,50,EUR,"6,2","6,8",2021-06-18,2021-04-16,3800
148,ESO2 3210R1,MINI S&P 500,Europea,ES,Put,0,0,0,3210,0,50,EUR,"6,4","6,9",2021-06-18,2021-04-16,3800
149,ESO2 3210F1,MINI S&P 500,Europea,ES,Call,0,0,0,3210,0,50,EUR,"972,6","959,3",2021-06-18,2021-04-16,3800
150,ESO2 3220F1,MINI S&P 500,Europea,ES,Call,0,0,0,3220,0,50,EUR,"962,8","949,4",2021-06-18,2021-04-16,3800
151,ESO2 3220R1,MINI S&P 500,Europea,ES,Put,0,0,0,3220,0,50,EUR,"6,5","7,1",2021-06-18,2021-04-16,3800
152,ESO2 3230F1,MINI S&P 500,Europea,ES,Call,0,0,0,3230,0,50,EUR,"952,9","939,6",2021-06-18,2021-04-16,3800
153,ESO2 3230R1,MINI S&P 500,Europea,ES,Put,0,0,0,3230,0,50,EUR,"6,6","7,2",2021-06-18,2021-04-16,3800
154,ESO2 3240F1,MINI S&P 500,Europea,ES,Call,0,0,0,3240,0,50,EUR,943,"929,7",2021-06-18,2021-04-16,3800
155,ESO2 3240R1,MINI S&P 500,Europea,ES,Put,0,0,0,3240,0,50,EUR,"6,8","7,4",2021-06-18,2021-04-16,3800
